Bird_ID,Max_Size(cm),Min_Size(cm),Diet,In_North_America,Lifespan_(Years),Can_Fly,birpic
American Robin,28,23,Omnivore,Y,2,Y,../images/American Robin.jpeg
Bald Eagle,102,70,Carnivore,Y,20,Y,../images/Bald Eagle.jpeg
Peregrine Falcon,58,34,Carnivore,Y,17,Y,
Emperor Penguin,115,115,Carnivore,N,20,N,
Kiwi,45,45,Omnivore,N,50,N,
Blue Jay,30,25,Omnivore,Y,7,Y,../images/Blue Jay.jpeg
Great Horned Owl,63,46,Carnivore,Y,28,Y,../images/Great Horned Owl.jpeg
Atlantic Puffin,25,25,Carnivore,Y,20,Y,../images/Atlantic Puffin.jpeg
Common Ostrich,210,210,Omnivore,N,40,N,
Northern Cardinal,23,21,Omnivore,Y,15,Y,
Hummingbird,13,7,Omnivore,Y,5,Y,../images/Hummingbird.jpeg
Snowy Owl,70,52,Carnivore,Y,10,Y,
Red-tailed Hawk,65,45,Carnivore,Y,21,Y,
Eurasian Eagle-Owl,75,56,Carnivore,N,20,Y,
Scarlet Macaw,90,81,Omnivore,N,50,Y,
Mallard Duck,65,50,Omnivore,Y,10,Y,
Ocellated Turkey,70,64,Omnivore,N,15,Y,
Australian Pelican,180,160,Carnivore,N,25,Y,
Black Skimmer,50,40,Carnivore,Y,10,Y,../images/Black Skimmer.jpeg
Osprey,60,54,Carnivore,Y,30,Y,
Painted Bunting,15,12,Omnivore,Y,10,Y,
Swallow-tailed Kite,50,48,Carnivore,Y,8,Y,
Toco Toucan,65,55,Omnivore,N,20,Y,
Greater Flamingo,150,120,Omnivore,N,40,Y,
Harpy Eagle,105,89,Carnivore,N,25,Y,
Quetzal,40,35,Omnivore,N,20,Y,
African Fish Eagle,90,73,Carnivore,N,24,Y,
Galapagos Penguin,50,48,Carnivore,N,15,N,
Indian Peafowl,100,90,Omnivore,N,20,Y,
Barred Owl,50,40,Carnivore,Y,23,Y,../images/Barred Owl.jpeg
